words,frequency
non-food,2
videos.,2
While,2
"occasionally,",1
2:,3
line,2
“Leave,1
"alone,",1
tell,1
"world,",1
then,1
wonder,1
Why,1
lonely”,1
original,1
"line,",1
Netflix,1
"show,",1
Friday,2
Plan.,1
added,4
script,1
connected,1
line!,1
Print,1
picture,4
6,2
put,3
up,6
school,3
"canteen,",2
"college,",1
office,2
OR,1
home.,1
fridge,2
door,1
want!,1
found,1
difficult,1
create,1
"board,",2
created,1
simple,1
printable,1
version,1
easy,1
WhatsApp,1
version!,1
(refer,1
6),1
minute,1
time,3
enough,1
help,1
Indians,1
make,3
slightly,1
choices!,1
Use,1
hashtag,1
#SugarBoardMovement,1
tag,2
story,1
"anywhere,",1
story!,1
"teacher,",1
"parent,",1
"friend,",1
anyone,1
find,3
useful!,1
Board,1
"Lagao,",1
Kam,1
Karao!,1
There,3
no,4
intention,3
defame,3
any,7
brand.,3
Everything,2
shared,2
personal,2
purely,2
educational,2
purposes.,2
numbers,1
rounded,1
off.,1
Just,1
imagine,1
college,1
"mess,",1
canteen,1
had,5
sugar-board,1
displaying,1
exact,1
soft-drink!,1
Habits,1
form,1
early,1
"age,",2
lot,1
"kid,",1
chances,2
crave,2
adult,1
too!,1
If,4
end,1
creating,1
"story,",1
reshare,1
it!,1
own,1
copyright,1
logos,1
shown.,1
Having,1
excess,1
basis,1
may,1
potentially,1
raise,1
risk,1
diabetes.,1
young,1
parent!,1
“Positive,1
Parenting”.,1
Episode,1
technique,1
breastfeeding,1
YouTube,1
channel!,1
generation,1
humans,1
addicted,1
"sugar,",3
us,1
dose,1
baby.,1
It,2
surprise,1
babies,2
"cerelac,",1
since,1
contains,2
sugar!,1
give,1
baby,2
once,2
grow,1
older,1
*,3
Babies,1
diets,1
"sensitive,",1
please,1
"diets,",1
after,3
consulting,1
doctor!,1
cerelac,2
advised,1
completes,1
months,1
complementary,1
Please,1
store,1
upto,1
1-2,1
3:,1
Since,2
preparation,1
allergens,1
like,4
"nuts,",1
advisable,1
offer,1
separately,1
rule,1
allergic,1
reaction,1
"paediatrician,",1
Dr.,1
Rastogi.,1
Shirt-,1
@dapper.menswear,2
(not,2
sponsored),2
Happy,1
Diwali,6
week,1
everyone!,1
was,5
away,1
13,1
Diwalis,1
2010,1
2022,1
2009,1
celebrating,3
home,2
India.,2
really,3
lonely,1
during,2
feels,1
amazing,3
celebrate,1
time!,1
third,1
"2014,",1
quoted,1
Swades,1
(which,1
favourite,1
"movie),",1
“No,1
giving,1
light,2
neighbour’s,1
home”,1
contributing,1
anything,2
also,2
wrote,1
“India,1
next,2
time”,1
ended,1
spending,1
9,1
years,1
US!,1
***,1
Now,1
1!,1
Enjoy,1
mithais,1
weekend!,1
usually,1
ask,1
avoid,1
daily,1
"biscuits,",1
"ketchup,",1
"juices,",1
sugary,1
etc,1
which,2
add-up,1
quick.,1
"live,",1
"while,",1
fine,1
live-to-eat,1
well.,1
some,2
bit,1
aggressive,3
don’t,1
touch,1
unhealthy.,1
"tone,",1
companies,1
need,2
spoken,1
tone.,1
Trust,1
"me,",1
normal,1
"person,",1
occasionally,1
enjoys,1
eating,1
desserts,1
Have,5
wonderful,1
Diwali!,1
Say,1
hello,1
side!,1
"Love,",1
P.S.,1
Quick,1
tip:,1
want,1
reduce,1
glucose,1
"spike,",1
mithai,1
along,1
"fat,",1
fibre,1
protein,1
roasted,1
"chana,",1
"makhana,",1
paneer,1
tikka,1
Outfit:,1
Which,2
item,1
did,1
surprising,1
available,3
outside,2
India?,1
.,33
Disclaimer,2
visited,1
2-3,1
grocery,1
stores,1
footages,1
Patel,1
Brothers.,1
"video,",2
assumed,1
wheat,1
flour,1
"maida,",1
Britannia’s,1
rusk,1
uses,1
Maida.,1
"likely,",1
case,1
I’m,1
happy,1
it.,1
💥Actor,2
VISHAL,1
X,1
FoodiesFindings,1
😍🧿❣️,1
🔹Recently,5
Met,1
Handsome,2
Actor,2
@actorvishalofficial,1
“MARK,1
ANTONY”,1
Movie’s,1
Influencer,2
Meet,2
💯,14
🔹We,2
Fun,2
Interactive,2
"Session,",1
Where,1
Asked,1
Me,2
Specifically,1
That,2
Had,2
Get,5
Him,2
His,2
Favourite,3
Exotic,1
😍✨,1
🔹I,1
Somehow,1
Managed,1
Favorite,3
Dish,1
Escaped,1
From,8
VILLANOUS,1
Mark,2
Antony,1
😈,1
(Chumma,1
🤪,1
It’s,1
Not,1
Ostrich,1
🐓),1
💢,17
FREE,1
MOVIE,1
TICKETS,1
🔸Comment,1
Your,3
Fav,1
Dialogues,1
Trailer,1
5,1
Lucky,1
Winners,1
Free,1
Ticket’s,1
Watch,1
“Mark,1
Antony”,1
September,1
15th,1
🔸Surely,1
DON’T,1
MISS,1
IT,1
Theaters,1
Nearby,1
💥,2
🔹Thank,2
@trendloud,1
Marketing,2
Agency,2
Invite,2
🙌🏻🔥,2
Follow,28
@foodies_findings,28
Welcome,1
#WorldOfMarkAntony,1
#MarkAntony,1
#MarkAntonyFromSep15,1
#foodiesfindings,10
#friedrice,10
#chennaifoodie,10
#chennaiblogger,10
#chennaifood,10
#chennaifoodblogger,10
#chennaifoodguide,10
#chennaifoodspots,10
#wherechennaieats,9
#foodofchennai,10
#chennaites,10
#chennai😍,9
#instafood,17
#walkwithchennai,10
#foodgasm,14
#foodporn,10
#chennaifoodies,10
#foodaddict,10
#foodstagram,18
#foodvideography,10
#reelsininstagram,10
#eatrepeat,10
#Alwarpet,10
#biryanilove,10
#biryanilover,10
#,10
parottapaya,10
ARJUN,1
DAS,1
Restaurant🤯⁉️,1
met,2
@imarjundas,1
Movie,1
Premier,1
Little,1
Chat,2
About,1
Spots,1
Chennai,3
💬,1
Being,1
"Blogger,",1
Try,2
Out,2
🌶💯,1
🔹One,1
Pure,2
Veg,2
“Vishranthi,1
Restaurant”,1
Famous,1
South,4
Spot,2
Serving,2
Delicious,4
Past,1
25,1
Years,2
🤯,2
🔹The,2
Other,1
Small,1
Pushcart,1
Near,5
Ganapathy,1
Temple,2
Amazing,2
Fried,2
Rice,4
🥵,3
IN,6
THE,5
FRAME,5
🔸VISHRANTHI,2
RESTAURANT,1
🔹Rava,1
Dosa,7
₹65,1
🔹Chapathi,1
Kuruma,1
₹60,2
🔹Plain,1
🔸FAST,2
FOOD,2
PUSHCART,1
🔹Chicken,1
₹100,3
📍LOCATION,5
"RESTAURANT,",1
Besant,2
⏱️,7
Timings,2
6:00,3
AM,5
10:00,1
PM,7
"PUSHCART,",1
Kiruba,1
Akka,1
"Kadai,",1
Till,1
10,2
⭐,10
FOFI,5
RATINGS,5
Hospitality,4
Service,4
(Self,1
Service),1
4.5/5,15
Taste,5
Ambience,5
Quantity,6
Price,5
Availability,5
4.75/5,7
💥Surprised,1
Actress,2
HANSIKA,1
With,6
Cake😍,1
Stunningly,1
Gorgeous,1
Lovely,1
@ihansika,1
♥️,1
her,2
Upcoming,1
Film,1
Partner’s,1
Magic,1
Session,1
✨,1
Cake,2
@thebrowniestudio.official,1
@the_brand_max,1
🔹Pull,1
Up,1
Brownie,1
😍💥,1
🔸THE,1
BROWNIE,1
STUDIO,1
"No.77,",1
Pillaiyar,1
Koil,1
"St,",2
Apparao,1
"Garden,",2
"Aminjikarai,",1
"Chennai,",1
Tamil,1
Nadu,1
600030,1
🔹This,3
Bakery,1
Cloud,1
Kitchen.,1
Takeaway,1
Delivery,1
Are,3
Available,5
🙌🏻,2
(Exact,2
Google,4
Maps),4
TIMINGS,4
8:00,1
1:00,1
(Delivery),1
🔥,2
☎,3
CONTACT,3
8939621467,1
More,1
Details,1
Packaging,1
5/5,2
👑RABBIT,1
🐇🐰FRY,1
CHENNAI,2
😍🧿⁉️,1
Visited,2
Minar,1
Hotel,1
Located,1
Angappa,2
Naicken,2
Mannady.They,1
exclusive,1
Non-veg,1
Dishes,3
Like,1
Rabbit,1
Turkey,1
",Country",1
chicken,1
more.,2
Resturant,1
Srilankan,1
"Cuisine,",1
covering,1
upcoming,1
Episode.,1
🔹Nei,2
soru,2
Combo,2
Lunch,2
Sunday,1
everyweek.,1
Nei,2
includes,1
accompaniment,1
Piece,2
"Chicken,",1
Mutton,2
bone,1
"dalcha,",1
Raita,1
",Brinjal",1
"gravy,",1
Sweet.,1
Soru,2
100,1
Rs,2
🔹Rabbit,1
Masala,4
320,1
NOTE,3
🔸This,1
Its,1
two,1
specific,1
days.,1
🔸Daily,1
thave,1
unique,2
Masi,1
"podi,",1
Coconut,1
Milk,1
"rice,",1
🔸HOTEL,1
MINAR,1
"🔔56,",1
Seethakadi,1
"Nagar,George",1
"Town,Chennai.",1
(Location,2
7:00,1
11:30,1
4/5,2
3.5/5,1
4.3/5,1
Tag,1
Who,1
Eat,1
this🤣‼️🧿.,1
What’s,1
Today‼️😜🧿.,1
Friends,1
